node1,node2
1,2
2,3
2,4
2,5
2,6
2,7
2,8
8,9
9,10
9,11
11,12
12,13
2,14
14,15
14,16
14,17
2,18
18,19
19,20
2,21
2,22
22,23
23,24
2,25
25,26
2,27
2,28
2,29
2,30
2,31
1,32
32,33
32,34
32,35
32,36
32,37
32,38
1,39
39,40
40,41
41,42
1,43
43,44
43,45
43,46
46,47
43,48
48,49
49,50
50,51
51,52
52,53
53,54
54,55
43,56
43,57
57,58
58,59
58,60
43,61
43,62
43,63
1,64
64,65
64,66
66,67
67,68
68,69
64,70
1,71
71,72
72,73
1,74
74,75
75,76
1,77
77,78
78,79
