node1,node2
1,2
1,3
3,4
1,5
1,6
6,7
7,8
7,9
9,10
6,11
1,12
1,13
13,14
14,15
15,16
1,17
17,18
17,19
1,20
20,21
1,22
22,23
23,24
23,25
