node1,node2
1,2
1,3
3,4
3,5
3,6
3,7
3,8
3,9
3,10
3,11
3,12
3,13
13,14
3,15
3,16
3,17
3,18
3,19
1,20
20,21
20,22
20,23
20,24
20,25
20,26
26,27
26,28
20,29
20,30
20,31
20,32
1,33
1,34
34,35
35,36
36,37
34,38
34,39
34,40
34,41
34,42
34,43
34,44
34,45
34,46
34,47
34,48
34,49
34,50
34,51
34,52
1,53
53,54
54,55
55,56
56,57
53,58
53,59
53,60
53,61
61,62
53,63
53,64
53,65
53,66
53,67
53,68
53,69
53,70
1,71
71,72
71,73
71,74
71,75
71,76
71,77
1,78
1,79
79,80
79,81
79,82
82,83
83,84
79,85
79,86
79,87
1,88
88,89
88,90
88,91
91,92
88,93
88,94
88,95
88,96
88,97
88,98
88,99
88,100
1,101
101,102
101,103
101,104
1,105
105,106
105,107
105,108
1,109
109,110
109,111
1,112
112,113
112,114
114,115
