node1,node2
1,2
2,3
2,4
1,5
5,6
6,7
7,8
8,9
9,10
10,11
5,12
12,13
13,14
1,15
15,16
15,17
15,18
18,19
19,20
15,21
1,22
22,23
22,24
22,25
25,26
22,27
27,28
28,29
29,30
30,31
30,32
32,33
32,34
34,35
1,36
36,37
37,38
38,39
37,40
1,41
41,42
42,43
1,44
44,45
45,46
44,47
47,48
1,49
49,50
50,51
