node1,node2
1,2
2,3
3,4
4,5
5,6
6,7
7,8
8,9
9,10
10,11
8,12
2,13
2,14
2,15
2,16
16,17
2,18
2,19
2,20
20,21
21,22
22,23
21,24
24,25
25,26
26,27
27,28
28,29
20,30
30,31
2,32
32,33
2,34
34,35
35,36
36,37
37,38
38,39
39,40
40,41
41,42
2,43
43,44
2,45
45,46
46,47
47,48
2,49
2,50
50,51
51,52
52,53
53,54
54,55
50,56
56,57
57,58
57,59
2,60
60,61
61,62
62,63
63,64
64,65
65,66
66,67
2,68
2,69
69,70
2,71
2,72
