name,username_type,acount_age,number_of_edits,total_posts,talking_type,status,rights,partition,editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient,UID,only_edits
Mario1257,registered,102.12481851859457,243,5,1,1,1,1,Mario1257,0.0001364008365917,0.0001973174387896,0.2577698363424257,0.0,1.0,U1707,238.0
Jylöstalo,registered,111.82270455017328,138,1,0,1,1,1683,Jylöstalo,0.0014094753114485,0.0011675926330252,0.2861985073703662,0.0,1.0,U1708,137.0
Mfb,registered,109.23625513642764,906,64,1,1,1,2,Mfb,0.0025461489497135,0.0035120216911879,0.3036289498793318,1.1336105957281346e-05,0.7090909090909091,U1709,842.0
Marianocecowski,registered,86.15027078660829,5,2,0,0,1,1683,Marianocecowski,0.0014094753114485,0.0011675926330252,0.2861985073703662,0.0,1.0,U1710,3.0
H4stings,registered,123.95653344467487,104775,127,0,1,1,1,H4stings,0.0051832317904883,0.0054555959757994,0.3156605655496804,5.6074042228829177e-05,0.4749262536873156,U1711,104648.0
Werner2101,registered,98.47337385435704,8843,8,1,0,1,2,Werner2101,0.0002273347276529,0.0003603320823736,0.2683567390114151,2.539544072032574e-09,0.9,U1712,8835.0
Don Alessandro,registered,118.12467744033074,2687,1,0,1,1,157,Don Alessandro,0.0002728016731835,0.0001222434138695,0.2647992962765477,0.0,1.0,U1713,2686.0
Charles Matthews,registered,124.10714532886446,3804636,579,0,1,1,1,Charles Matthews,0.0130035464217513,0.0128485187294684,0.3419921046838134,0.0004323367097731,0.4202429149797571,U1714,3804057.0
RogueScholar,registered,54.27588101664571,9319,3,1,1,1,1,RogueScholar,0.0002273347276529,0.0002393047964942,0.2571007098311968,6.627293131484915e-10,0.9,U1715,9316.0
Balthas,registered,105.3994108176227,44,2,1,1,1,1,Balthas,4.546694553059925e-05,0.0001208225466288,0.264769801378435,0.0,0.0,U1716,42.0
Kokonino,registered,75.45574629641038,8418,55,0,1,1,5,Kokonino,0.0140492861689551,0.0113736452522517,0.3238488178222498,0.0001071730310534,0.7581011221787921,U1717,8363.0
Scudsvlad,registered,29.387745052183742,15239,2,0,1,1,1,Scudsvlad,4.546694553059925e-05,8.301063885326934e-05,0.2528884551273792,0.0,0.0,U1719,15237.0
SamB,registered,96.7824135867114,2210,23,0,1,1,1,SamB,0.0022278803309993,0.0028526410365835,0.2955280506769915,5.019999523158329e-06,0.7023809523809523,U1720,2187.0
Thieol,registered,109.2572541226415,48185,120,0,1,1,2,Thieol,0.0197781213058106,0.0255670062662752,0.3449299594879579,5.3658782529332376e-05,0.7284919752105514,U1721,48065.0
Rougieux,registered,14.293682355634347,15,3,1,0,1,1,Rougieux,4.546694553059925e-05,0.0001063072185491,0.2530284342603374,0.0,0.0,U1722,12.0
Jmchutchinson,registered,121.24913965074954,163,2,1,1,1,1683,Jmchutchinson,9.09338910611985e-05,0.0001718428717463,0.2595996683065017,0.0,1.0,U1725,161.0
Thryduulf,registered,119.44696788206922,13426,1303,0,1,1,0,Thryduulf,0.0438301354914976,0.0415157220708555,0.3595163681320236,0.0008194503173269,0.3290633092471228,U1727,12123.0
Hpsatapathy,registered,99.94988565435597,481,2,1,1,1,182,Hpsatapathy,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1728,479.0
MSGJ,registered,120.34655666364736,135900,977,0,1,3,1,MSGJ,0.045376011639538,0.0284242914889379,0.364645383017628,0.0030294276421151,0.1656794029382737,U1729,134923.0
MSGJ,registered,120.34655666364736,135900,977,0,1,12,1,MSGJ,0.045376011639538,0.0284242914889379,0.364645383017628,0.0030294276421151,0.1656794029382737,U1729,134923.0
Effeietsanders,registered,121.7878844572822,2849,22,1,1,1,1,Effeietsanders,0.0039101573156315,0.0038084259722062,0.3064077860753452,2.061073947511866e-05,0.5272229822161423,U1731,2827.0
Madyno,registered,94.50721172310938,363,6,1,1,1,1,Madyno,0.0012730744748567,0.001741985897678,0.2939202120354271,1.559476712060436e-06,0.8809523809523809,U1732,357.0
Mvivwiki,registered,0.5240627802076703,2,1,1,0,1,5,Mvivwiki,4.546694553059925e-05,9.005987051445021e-05,0.2458525870152156,0.0,0.0,U1733,1.0
Чаховіч Уладзіслаў,registered,123.82317912072116,490382,304,1,1,1,3,Чаховіч Уладзіслаў,0.0081385832499772,0.0099973137397623,0.3350506473677604,6.176073312244473e-05,0.5968865733475613,U1734,490078.0
DDupard,registered,104.408674069663,46830,148,1,1,1,1,DDupard,0.0027280167318359,0.0036659534220131,0.3074381544808859,4.225217479502957e-05,0.635593220338983,U1735,46682.0
Dadu,registered,95.0002254970632,65,2,1,1,1,183,Dadu,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1736,63.0
Sfloresuy,registered,46.30554547853671,15,1,1,0,1,184,Sfloresuy,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1737,14.0
JoeenNc,registered,26.28283606097319,7,2,1,0,1,185,JoeenNc,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1738,5.0
Dowrisen,registered,24.70628418105779,409,1,1,0,1,186,Dowrisen,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1739,408.0
Drsrisenthil,registered,115.59755923195624,78,3,1,1,1,1,Drsrisenthil,0.0013640083659179,0.0012156377661082,0.276613485094993,0.0,1.0,U1740,75.0
Olimidono,registered,16.200783649827777,391,1,1,1,1,1683,Olimidono,4.546694553059925e-05,7.765455132318995e-06,0.2168129376131301,0.0,0.0,U1742,390.0
H005,registered,118.05254880129108,9795,98,0,1,1,1683,H005,0.0044557606619987,0.0042816641566584,0.3075017881575267,0.0002748176637863,0.4870608037029245,U1743,9697.0
जैन,registered,62.82631592556848,175,1,1,0,1,187,जैन,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1744,174.0
Akela,registered,123.83246062547484,54842,118,1,1,1,0,Akela,0.007365645175957,0.008463736925482,0.3263834028306074,1.6864166182910135e-05,0.6709608158883521,U1746,54724.0
Arminden,registered,110.19908614748344,139,4,1,1,1,1683,Arminden,4.546694553059925e-05,8.882284613888786e-05,0.254431349176387,0.0,0.0,U1747,135.0
Xinstalker,registered,63.551038389258885,453,1,1,0,1,188,Xinstalker,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1749,452.0
Dodecaedro,registered,99.34328562530374,1607,3,1,1,1,1,Dodecaedro,9.09338910611985e-05,0.0001159589870122,0.2543279040930533,6.549482483790851e-09,0.0,U1750,1604.0
Akerbeltz,registered,111.81978221470818,10243,15,0,1,1,3,Akerbeltz,0.0005910702918977,0.0010420992026853,0.2758495013247126,2.270237180651394e-08,0.8846153846153846,U1751,10228.0
Jahl de Vautban,registered,81.32156641744108,208462,651,0,1,1,1683,Jahl de Vautban,0.0343275438756024,0.0220874274517372,0.3561871138239201,0.0018424496915616,0.196546454230857,U1752,207811.0
Osado,registered,79.05910494777822,6298,3,0,0,1,1683,Osado,0.0006365372374283,0.0004718890527372,0.271105191926929,1.0715477830959682e-06,0.8131868131868132,U1754,6295.0
Noé,registered,118.79523041388788,1676,118,0,1,1,1,Noé,0.0070928435027734,0.0065447077947158,0.3153674108864215,3.930304437293107e-05,0.4854425144747725,U1755,1558.0
JakobVoss,registered,122.76345243989344,16968,454,0,1,2,5,JakobVoss,0.0266436300809311,0.0211418279814773,0.344769866680491,0.0003032914744519,0.366687086141011,U1756,16514.0
MartinPoulter,registered,123.141404531084,664759,224,0,1,1,1,MartinPoulter,0.0113667363826498,0.0110890199020571,0.332240841251127,0.0001025036307394,0.4403855421686747,U1757,664535.0
Gavleson,registered,21.29994113499935,10,1,1,0,1,189,Gavleson,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1758,9.0
JeanneMish,registered,51.86483485477304,67,2,1,0,1,1,JeanneMish,9.09338910611985e-05,0.000203768843982,0.2623560022532464,0.0,1.0,U1759,65.0
IP-80.134.90.212,registered,0.0705611872781629,448,51,0,0,1,1,IP-80.134.90.212,0.0008184050195507,0.0011360178430021,0.2723476538514337,2.971444330409487e-07,0.8300653594771242,U1760,397.0
Jokes Free4Me,registered,21.12146077986239,454,29,0,0,1,1,Jokes Free4Me,0.0009548058561425,0.0014240710133235,0.282928290184645,1.4373825300194844e-06,0.8095238095238095,U1761,425.0
Yeti2016,registered,0.1688794278991203,333,1,0,0,1,1,Yeti2016,0.0001364008365917,0.0001686218905602,0.2559876718016017,0.0,1.0,U1763,332.0
Idyllic press,registered,60.10721795945312,41,6,1,0,1,5,Idyllic press,0.0001364008365917,0.0002063224885734,0.2552455032659687,3.781786308660387e-08,0.3333333333333333,U1766,35.0
Danysan1,registered,96.53257310782108,6842,44,0,1,1,1,Danysan1,0.0018641447667545,0.0013079433593659,0.2878133336742116,8.492317522691944e-06,0.5121951219512195,U1767,6798.0
Zaunkoeniglich,registered,45.57826497311908,104,2,1,1,1,190,Zaunkoeniglich,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1768,102.0
Zbrnajsem,registered,117.12930450317256,259,1,1,1,1,191,Zbrnajsem,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1769,258.0
Ale Sasso,registered,59.2093217367761,174,2,1,0,1,192,Ale Sasso,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1770,172.0
Tentacles,registered,11.748612983915557,8,2,2,0,1,193,Tentacles,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1771,6.0
Wikisaurus,registered,65.14403900604849,73754,165,0,1,1,0,Wikisaurus,0.0325997999454396,0.0369524120004229,0.3560164034889937,0.0003605587824714,0.4926486056894416,U1772,73589.0
Gerd Fahrenhorst,registered,120.19654293608583,164097,79,1,1,1,1,Gerd Fahrenhorst,0.0032736200782031,0.0025428224669529,0.2929277767554731,0.0001578395527765,0.4452269170579029,U1773,164018.0
Gadfium,registered,120.2777876646642,370,3,0,1,1,2,Gadfium,9.09338910611985e-05,0.0001066328791347,0.2484427269398726,0.0,1.0,U1775,367.0
Q1q2q3qwertz,registered,109.0002988881816,97,1,1,1,1,194,Q1q2q3qwertz,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1776,96.0
Jobu0101,registered,119.3455767210978,296388,737,0,1,10,1,Jobu0101,0.0110484677639356,0.0106293661057535,0.3380333223571264,0.0004690756005916,0.3977485290616603,U1777,295651.0
OhReally,registered,87.74389731936088,2,2,1,0,1,5,OhReally,4.546694553059925e-05,9.005987051445021e-05,0.2458525870152156,0.0,0.0,U1778,0.0
Raid5,registered,89.89953136158397,6215,20,1,1,1,6,Raid5,0.0005910702918977,0.0004207539345664,0.2676918762601988,2.539262276263146e-05,0.4871794871794871,U1779,6195.0
Paul1948,registered,22.36228175648903,7,2,2,0,1,195,Paul1948,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1780,5.0
KartikMistry,registered,117.55806758523448,19570,30,0,1,1,1,KartikMistry,0.0013185414203873,0.0010921403693869,0.2751916370852895,5.503202228903915e-06,0.4310344827586206,U1781,19540.0
22merlin,registered,107.93763694288346,2588,3,1,1,1,5,22merlin,0.0001364008365917,0.0002593939706203,0.2592655559110983,0.0,1.0,U1782,2585.0
Barcelona,registered,117.35166171942082,877,20,0,1,1,1,Barcelona,0.0025916158952441,0.0029947075673836,0.2944882582342616,1.6514222519769228e-06,0.6741854636591479,U1783,857.0
°,registered,53.70430984589386,1900,1,1,0,1,197,°,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1784,1899.0
NehalDaveND,registered,111.91705929013676,1323,3,1,1,1,1,NehalDaveND,9.09338910611985e-05,0.0001997400159011,0.2651537483061879,0.0,1.0,U1785,1320.0
DouglasReay,registered,0.1629336065156102,11,2,2,0,1,1,DouglasReay,0.0005001364008365,0.0005673907574212,0.2634084265436618,0.0,1.0,U1786,9.0
Bosta,registered,98.262088810098,386,10,1,1,1,1,Bosta,0.0001818677821223,0.0002463810395387,0.262442900039229,1.1714399770113198e-08,0.8333333333333334,U1787,376.0
Smalyshev (WMF),registered,56.916032955274005,1070,237,0,0,1,1,Smalyshev (WMF),0.007365645175957,0.0076395209244421,0.3211275462450775,0.000245102304513,0.4942872479104363,U1788,833.0
P64,registered,112.99400854683304,12706,34,1,1,1,1,P64,0.0010457397472037,0.0010971347497651,0.2840711205831059,1.4762121990522692e-06,0.6324110671936759,U1789,12672.0
Martin Davídek,registered,120.27703740209132,8685,7,0,1,1,1,Martin Davídek,0.0002273347276529,0.0001768099234482,0.2597244731119636,7.419739789232365e-06,0.4,U1790,8678.0
Kelson,registered,110.90908551624378,430,4,1,1,1,2,Kelson,0.0001364008365917,0.000124338734124,0.2490466151347687,4.297180943877087e-09,0.3333333333333333,U1793,426.0
Boberger,registered,124.07068021018,34026,31,0,1,1,1,Boberger,0.0007274711284895,0.0008325795918778,0.2796463992394665,6.514165246191224e-07,0.5833333333333334,U1795,33995.0
Presearch,registered,96.36785111565908,20,1,1,0,1,198,Presearch,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1796,19.0
El Fahno,registered,21.69149530030657,5,2,1,0,1,199,El Fahno,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1797,3.0
The-erinaceous-one,registered,31.12124859206935,4297,362,0,1,1,1,The-erinaceous-one,0.0137764844957715,0.0109232073663551,0.3372276590079607,0.000296048424653,0.334928857124123,U1798,3935.0
Рассилон,registered,98.82390504634289,14776,59,1,1,1,0,Рассилон,0.0255069564426661,0.0339981467983656,0.349309378811949,0.0001165255549349,0.6987967914438503,U1799,14717.0
Patachonf,registered,118.68552171958812,14173,9,1,1,1,1,Patachonf,0.0004546694553059,0.0005724314366419,0.2640814916694789,2.7720604539599504e-09,0.9333333333333332,U1800,14164.0
桂鷺淵,registered,123.82141317070166,65847,16,1,1,1,2,桂鷺淵,0.0004546694553059,0.0006785462875397,0.267204397798484,1.6973398706801402e-08,0.8888888888888888,U1801,65831.0
Faendalimas,registered,111.77583690592172,768,160,0,1,1,0,Faendalimas,0.0241429480767482,0.0330383346503329,0.3460144870033063,0.0001313725940247,0.7338805386774686,U1802,608.0
Bulgu,registered,47.72286448957428,2077,7,1,0,1,1,Bulgu,0.0002273347276529,0.0004867232596015,0.27021147241279,0.0,1.0,U1803,2070.0
Kareyac,registered,118.60723355031246,954741,471,1,1,1,0,Kareyac,0.0303264526689097,0.0360798223940906,0.3548789708899874,0.000739699839837,0.5366911139025082,U1804,954270.0
Mlang.Finn,registered,100.399677383291,1278,8,2,1,1,1683,Mlang.Finn,9.09338910611985e-05,8.898437938996323e-05,0.2544367959855405,0.0,1.0,U1805,1270.0
Nenntmichruhigip,registered,118.75202852290676,3027,66,0,1,1,1,Nenntmichruhigip,0.0037737564790397,0.0047638008591037,0.3084194419264212,2.941954233072976e-05,0.6176902732882751,U1806,2961.0
Spinster,registered,122.7033588034738,544460,436,1,1,12,5,Spinster,0.0227789397108302,0.0187329120566202,0.3464683889364671,0.0002704396645411,0.4349620758483034,U1807,544024.0
Sobloku,registered,77.03584224484038,788,6,1,0,1,3,Sobloku,4.546694553059925e-05,3.099009799718723e-05,0.2359823610458963,0.0,0.0,U1808,782.0
Benriac,registered,80.2325608632925,42,4,2,0,1,1,Benriac,0.0005001364008365,0.0003982829457466,0.2663779554008823,1.3645428473458166e-06,0.5272727272727272,U1809,38.0
Suwa,registered,121.23448386270005,250,3,1,1,1,1683,Suwa,9.09338910611985e-05,0.0001718334849921,0.2633033876265883,0.0,1.0,U1811,247.0
WurmD,registered,5.171602124311625e-05,2,1,1,0,1,200,WurmD,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1812,1.0
Dominic,registered,122.5433642640772,1896883,184,0,1,1,3,Dominic,0.0175047740292807,0.0167040502403894,0.3462160742834503,0.0001052364511921,0.4805194805194805,U1814,1896699.0
Nurni,registered,103.94900876358402,496284,672,1,1,1,1,Nurni,0.0014094753114485,0.0015158055410472,0.2839693127079029,2.4088167364216647e-06,0.4989247311827957,U1815,495612.0
Fuzheado,registered,101.86805075471167,653319,382,0,1,3,0,Fuzheado,0.0371464944984995,0.039917274431803,0.3586268252037225,0.0005654209677748,0.4238606091151271,U1816,652937.0
Fuzheado,registered,101.86805075471167,653319,382,0,1,12,0,Fuzheado,0.0371464944984995,0.039917274431803,0.3586268252037225,0.0005654209677748,0.4238606091151271,U1816,652937.0
Abbe98,registered,111.21609653555896,6822,151,0,1,1,0,Abbe98,0.0261434936800945,0.0330409025236605,0.3437726437993974,0.0002754027064451,0.6321102863202545,U1818,6671.0
Jean-Jacques Georges,registered,69.53458661026578,32094,67,0,0,1,1,Jean-Jacques Georges,0.0015458761480403,0.0017067863005461,0.2810217202392019,3.652343300464192e-06,0.5757575757575758,U1819,32027.0
Nouill,registered,123.91270259561188,82551,589,1,1,1,2,Nouill,0.0294171137582977,0.029875686425456,0.3486535719462749,0.00029954767373,0.4435331441614309,U1820,81962.0
Jan Ainali (WMSE),registered,33.48564766331045,389,25,0,0,1,2,Jan Ainali (WMSE),0.0010457397472037,0.001576497010941,0.2828205695335181,5.310814836442889e-07,0.7747035573122529,U1821,364.0
FBQ,registered,119.91195423436332,3111,27,0,1,1,1683,FBQ,0.0001818677821223,0.0002195014747252,0.2551633056544058,3.4396220049326674e-06,0.5,U1822,3084.0
Supralegal,registered,106.77600003954754,73,11,1,1,1,1683,Supralegal,0.0001364008365917,0.0002495239976148,0.2609734226445164,0.0,1.0,U1823,62.0
Was a bee,registered,101.90305983923923,27870,155,0,0,1,1,Was a bee,0.0051377648449577,0.0056737656632153,0.3169738535864244,3.4186614969794226e-05,0.5600505689001264,U1824,27715.0
Jonpatterns,registered,103.61998763378668,24,1,1,1,1,1,Jonpatterns,4.546694553059925e-05,0.0001063072185491,0.2530284342603374,0.0,0.0,U1825,23.0
Hungyiwu,registered,0.9223841390004968,2,1,1,0,1,201,Hungyiwu,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1826,1.0
Musicaline,registered,107.42732492035351,636,4,2,1,1,1,Musicaline,4.546694553059925e-05,0.0001208225466288,0.264769801378435,0.0,0.0,U1827,632.0
Hansmuller,registered,117.06628434837432,1868,17,1,1,1,3,Hansmuller,0.0003182686187141,0.0003327533477691,0.2573512247813387,6.404743681183653e-08,0.4285714285714285,U1828,1851.0
Virgilinojuca,registered,94.51642820257166,901,2,1,1,1,1,Virgilinojuca,9.09338910611985e-05,0.0001570388822008,0.2541756119349137,0.0,1.0,U1829,899.0
BlueBanana,registered,58.37004980709163,13,1,1,1,1,202,BlueBanana,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1831,12.0
Marco2152,registered,53.971819711865706,912,1,1,0,1,203,Marco2152,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1832,911.0
Roerdinkholder,registered,51.250351935129856,42,6,1,1,1,1683,Roerdinkholder,0.0001364008365917,0.0001332708632324,0.2578761008934142,1.4591565316573428e-07,0.6666666666666666,U1834,36.0
QuartierLatin1968,registered,94.78727032952992,33,2,1,1,1,204,QuartierLatin1968,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1835,31.0
Judith Sunrise,registered,92.8328401298072,12,4,2,0,1,205,Judith Sunrise,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1836,8.0
Volodymyr D-k,registered,121.07979363786464,1275,242,1,1,1,1683,Volodymyr D-k,0.0003182686187141,0.0004288879163438,0.2724350528142981,2.438464228055011e-07,0.7619047619047619,U1837,1033.0
Jzana,registered,123.39089782815526,1694,14,1,1,1,1,Jzana,0.0005001364008365,0.0008469673053982,0.2792128083744818,1.8095720628527479e-09,0.9636363636363636,U1841,1680.0
LeadSongDog,registered,113.12959654658664,716,61,0,1,1,1,LeadSongDog,0.0058197690279167,0.0058015813532632,0.3127039469079291,2.208506536762043e-05,0.4969242125984252,U1842,655.0
Harej,registered,120.08343201206505,15760500,102,0,1,9,1,Harej,0.0045466945530599,0.0057478093941224,0.3129097652654231,1.60962866710962e-05,0.6298989898989898,U1843,15760398.0
Harej,registered,120.08343201206505,15760500,102,0,1,2,1,Harej,0.0045466945530599,0.0057478093941224,0.3129097652654231,1.60962866710962e-05,0.6298989898989898,U1843,15760398.0
IslandGyrl,registered,0.000651773973608,2,1,1,0,1,206,IslandGyrl,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1844,1.0
ICHx,registered,1.8076122180621248,7,1,1,0,1,2,ICHx,4.546694553059925e-05,6.234654122943576e-05,0.2432710744652973,0.0,0.0,U1845,6.0
Wammes Waggel,registered,118.8504193941164,57,1,1,1,1,207,Wammes Waggel,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1846,56.0
Mautpreller,registered,116.43819631249558,756,32,0,1,1,1,Mautpreller,0.0014549422569791,0.0017708792568689,0.2920568033929615,2.1923539371817183e-06,0.657258064516129,U1847,724.0
The RedBurn,registered,122.94347667037044,2552,46,0,1,1,5,The RedBurn,0.019959989087933,0.0169398418921012,0.3340806052978572,2.594434128343667e-05,0.5420476175617063,U1848,2506.0
Nick2crosby,registered,28.67339735472552,15,2,1,0,1,3,Nick2crosby,0.0001818677821223,0.0002381670794588,0.2539041148061646,1.2270026683068353e-08,0.8333333333333334,U1849,13.0
SUPry,registered,0.1827454058300687,29,1,1,0,1,2,SUPry,4.546694553059925e-05,6.234654122943576e-05,0.2432710744652973,0.0,0.0,U1850,28.0
Alarob,registered,111.66398123621065,27,4,2,1,1,2,Alarob,4.546694553059925e-05,6.234654122943576e-05,0.2432710744652973,0.0,0.0,U1851,23.0
AeAnBr,registered,0.4932993528652577,7,2,2,0,1,2,AeAnBr,4.546694553059925e-05,6.234654122943576e-05,0.2432710744652973,0.0,0.0,U1852,5.0
Yeza,registered,48.18567610712213,5584,18,0,0,1,1,Yeza,0.0017732108756933,0.0016119736617778,0.2794360053153214,5.789475507236445e-06,0.5168690958164642,U1854,5566.0
Jarould,registered,100.4797824580777,13634,15,1,1,10,2,Jarould,0.0003637355642447,0.0005331484196201,0.2636655414973615,5.63272557703727e-07,0.5357142857142857,U1855,13619.0
Markhurd,registered,46.38266129124258,1348,7,1,0,1,208,Markhurd,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1856,1341.0
Aubrey,registered,89.8895927591486,43612,187,0,0,1,2,Aubrey,0.0127307447485677,0.0111101955731552,0.3230653623114672,0.0002500955377128,0.3784434203789042,U1857,43425.0
Liberaler Humanist,registered,122.035956324299,413,10,1,1,1,5,Liberaler Humanist,0.0003637355642447,0.0005124735847165,0.2606700650088072,8.32193820061194e-09,0.7142857142857143,U1858,403.0
দিব্য দত্ত,registered,102.63584505880036,1235,1,1,1,1,209,দিব্য দত্ত,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1859,1234.0
Dirtlawyer1,registered,39.09703484671143,25026,34,1,0,1,1,Dirtlawyer1,0.0045012276075293,0.0044049699120102,0.3103847178020622,6.889117648402713e-05,0.5355596784168213,U1860,24992.0
AdamBMorgan,registered,83.86862457438855,15627,50,0,0,1,2,AdamBMorgan,0.0049558970628353,0.0058080652944936,0.306700340990828,7.605218910854134e-05,0.6216445803601767,U1861,15577.0
Amqui,registered,124.00575987186596,91529,197,0,1,1,2,Amqui,0.021551332181504,0.0267284870688744,0.3467413021581984,9.946354095903576e-05,0.6513858038732928,U1862,91332.0
Auvajs,registered,4.2489635881183965,66,10,0,0,1,5,Auvajs,0.0001364008365917,0.000159520611946,0.2484011874114692,2.5625625042281404e-10,0.6666666666666666,U1863,56.0
すじにくシチュー,registered,102.75430935154954,1756,6,1,1,1,1683,すじにくシチュー,0.0001364008365917,0.0001080015438966,0.2553716425104009,5.528498690073341e-07,0.3333333333333333,U1864,1750.0
Nonexyst,registered,120.28337109363414,5686,19,1,1,1,2,Nonexyst,0.0076839137946712,0.0087699637863987,0.3157779800753644,5.120990994524179e-07,0.9716117216117216,U1865,5667.0
Popolon,registered,123.56354301898358,62060,84,1,1,1,10,Popolon,0.0035918886969173,0.0018386661961936,0.2789637745353026,2.163122518995748e-05,0.5666991236611489,U1866,61976.0
Archer90,registered,106.7837114306857,22411,312,1,1,1,5,Archer90,0.0133218150404655,0.0115091115283303,0.322128458750991,5.48255873020722e-06,0.8482397494038992,U1867,22099.0
KurtR,registered,119.73891927205138,2791,26,1,1,1,1,KurtR,0.0013185414203873,0.0018109263416913,0.2922507036017647,1.2438048926194788e-05,0.6527093596059114,U1868,2765.0
Eio,registered,36.28641435332538,51,4,1,0,1,1683,Eio,4.546694553059925e-05,8.882284613888786e-05,0.254431349176387,0.0,0.0,U1869,47.0
Paso del lobo,registered,124.02737108450778,1557,17,1,1,1,1683,Paso del lobo,0.0007274711284895,0.0006456793847402,0.276144321888396,1.947518356868109e-05,0.5083333333333333,U1870,1540.0
Jonathan Groß,registered,116.35396574422016,320118,532,1,1,2,0,Jonathan Groß,0.0254614894971355,0.0339334161194661,0.3498028552867106,0.0001769796815175,0.6836953743930488,U1871,319586.0
Rogi.Official,registered,83.45152573670613,1663,5,0,1,1,1,Rogi.Official,0.0005001364008365,0.0007578894587289,0.2734504788808339,2.744251801387365e-09,0.9272727272727272,U1872,1658.0
Adavyd,registered,124.08041575117902,40451,32,1,1,1,2,Adavyd,0.0024097481131217,0.0025615098543056,0.293912943619283,6.0569361899755205e-06,0.6451378809869376,U1873,40419.0
Igel B TyMaHe,registered,119.32910288674267,6425,19,0,1,1,1,Igel B TyMaHe,0.0040920250977539,0.0050462837151428,0.3042118204734333,6.682177463309504e-06,0.813732833957553,U1874,6406.0
Chuq,registered,121.43825335222488,1464,20,1,1,1,1683,Chuq,0.0023642811675911,0.0028635236403087,0.2924520574329864,8.56573656194944e-06,0.6711915535444947,U1875,1444.0
Szenti Tamás,registered,116.73316738574752,62954,8,0,1,1,1,Szenti Tamás,0.0030462853505501,0.0035689964833764,0.3033422223546251,1.916826793997654e-06,0.7313432835820896,U1876,62946.0
Frank50 s,registered,21.730737113013955,46,5,1,0,1,2,Frank50 s,9.09338910611985e-05,0.0001033019891922,0.2531793544239214,0.0,1.0,U1877,41.0
Visite fortuitement prolongée,registered,92.34893369930025,25215,744,0,0,1,1,Visite fortuitement prolongée,0.0210511957806674,0.017415471473298,0.3406199413657916,0.0005980576470279,0.3335203313605041,U1878,24471.0
T. Anthony,registered,82.9922258651596,728,1,1,0,1,210,T. Anthony,0.0,4.9720417613335086e-27,0.0,0.0,0.0,U1879,727.0
Gerda Arendt,registered,121.7647864090296,1338,56,0,1,1,1,Gerda Arendt,0.0024552150586523,0.0035682463405303,0.3059109341623743,3.119117007979189e-06,0.7337526205450734,U1880,1282.0
Louis-garden,registered,123.4384830322016,2297,9,1,1,1,1,Louis-garden,0.0001818677821223,0.000267172165147,0.2591807491566515,0.0,1.0,U1881,2288.0
Brantgurga,registered,94.80342131901712,1881,10,1,1,1,1,Brantgurga,0.0005001364008365,0.0008329593603036,0.2820219636493977,8.636536082943191e-07,0.8363636363636363,U1882,1871.0
Bloubéri,registered,75.05961640401773,544,29,1,0,1,1683,Bloubéri,0.0001364008365917,0.0002744296919371,0.2592881804196641,0.0,1.0,U1884,515.0
Wap,registered,23.54722281163276,1944,4,1,0,1,1,Wap,9.09338910611985e-05,0.0002170231192862,0.2580104550977221,0.0,1.0,U1885,1940.0
Harlock81,registered,122.72827337697252,4472,228,1,1,1,2,Harlock81,0.0113667363826498,0.0128385931278922,0.3338928984738894,1.0885196007846969e-05,0.7018152610441767,U1886,4244.0
Franciesse,registered,69.22441102676837,892,2,2,0,1,1683,Franciesse,0.0012730744748567,0.000463227635181,0.2692260140007377,0.0,1.0,U1887,890.0
Poulos,registered,3.385657398090918,34,3,1,0,1,2,Poulos,4.546694553059925e-05,8.302002560742048e-05,0.2475784613189302,0.0,0.0,U1888,31.0
Lklundin,registered,115.38654873892764,283,8,1,1,1,5,Lklundin,0.0007274711284895,0.0012669336705982,0.2815409597080793,3.006107423105523e-08,0.9666666666666668,U1889,275.0
