name,username_type,acount_age,number_of_edits,total_posts,talking_type,status,rights,partition,editors,degree_centrality,eigenvector_centrality,closeness_centrality,betweenness_centrality,clustering_coifficient,UID,only_edits
ChristianKl,registered,82.53975174788744,51574,7506,0,1,12,1,ChristianKl,0.1108029462580703,0.0555067769519953,0.3884196089439709,0.0120726639844444,0.0861118915892308,U30,44068.0
Benlisquare,registered,117.7403159848898,582,13,0,1,1,1,Benlisquare,0.0034100209147949,0.0027585271930903,0.3052901701491502,6.0360156102885324e-06,0.6828828828828829,U31,569.0
Infovarius,registered,123.898610360088,1609012,5187,0,1,10,1,Infovarius,0.1010730199145221,0.0457744832217066,0.3854967926462511,0.0197185683186284,0.0778085905756567,U32,1603825.0
Stryn,registered,123.63156669883708,187988,4366,0,1,3,2,Stryn,0.1005274165681549,0.057868199524792,0.38277782976092,0.0100568951392868,0.1145752111511549,U34,183622.0
Amgine,registered,56.83469582233417,42,25,0,0,1,1,Amgine,0.0010002728016731,0.0010171288116632,0.2799889659138393,1.918555303608022e-06,0.6406926406926406,U35,17.0
Ajraddatz,registered,122.62353892733368,15133,2695,0,1,3,2,Ajraddatz,0.0802946258070382,0.0549006637667825,0.3770342801788081,0.0042475307943253,0.1604470980015977,U36,12438.0
Ajraddatz,registered,122.62353892733368,15133,2695,0,1,11,2,Ajraddatz,0.0802946258070382,0.0549006637667825,0.3770342801788081,0.0042475307943253,0.1604470980015977,U36,12438.0
Bene*,registered,81.50178496326261,18950,2153,0,0,1,2,Bene*,0.0579248886059834,0.0408409264671565,0.3681810233287868,0.0026423126810864,0.1929471045170742,U37,16797.0
Ypnypn,registered,38.57213320221801,1930,98,0,0,10,2,Ypnypn,0.0102300627443848,0.0099991308061162,0.3100689158664414,8.761697446370597e-05,0.4919444444444444,U38,1832.0
Laboramus,registered,99.42056343084084,28138,203,1,1,1,1,Laboramus,0.0138674183868327,0.01437499040471,0.3420610031104751,8.71464684349507e-05,0.477502157031924,U39,27935.0
Conny,registered,123.80881727741006,20784,911,0,1,1,2,Conny,0.0455578794216604,0.0343811557197289,0.3635856592149214,0.0036785081377343,0.2305239670509131,U40,19873.0
יונה בנדלאק,registered,120.94902625576766,17740,269,0,1,3,5,יונה בנדלאק,0.045830681094844,0.0447130644488462,0.3612648291460703,0.0009528932559957,0.3601397361327847,U41,17471.0
Guettarda,registered,121.43061535220512,6378,15,0,1,1,3,Guettarda,0.0125488769664453,0.0119678770757645,0.3342967292233164,8.064014540533073e-05,0.60866930171278,U42,6363.0
Jdforrester,registered,120.0180614401543,28027,318,0,1,9,2,Jdforrester,0.0560152768936982,0.0503085085234064,0.3640757118724634,0.0007517863702999,0.2941595366453206,U43,27709.0
