node1,node2
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,10
10,11
0,12
0,13
13,14
13,15
15,16
13,17
13,18
0,19
19,20
13,21
21,22
0,23
0,24
0,25
0,26
0,27
0,28
